timestamp_unix,datetime,session,voltage,current,power,energy,frequency,power_factor
1778168822,2026-05-07 15:47:02,S-00,211.60001,0.033,0.4,1.28,50,0.06
1778168825,2026-05-07 15:47:05,S-00,211.8,0.03,0,1.28,50,0
1778168827,2026-05-07 15:47:07,S-00,211.8,0.03,0,1.28,50,0
1778168829,2026-05-07 15:47:09,S-00,212.10001,0.034,0.6,1.28,50,0.08
1778168832,2026-05-07 15:47:12,S-00,212.10001,0.031,0,1.28,50,0
1778168834,2026-05-07 15:47:14,S-00,212.10001,0.031,0,1.28,50,0
1778168837,2026-05-07 15:47:17,S-00,212.5,0.035,0.6,1.28,50,0.08
1778168839,2026-05-07 15:47:19,S-00,212.3,0.03,0,1.28,50,0
1778168841,2026-05-07 15:47:21,S-00,212.2,0.031,0,1.28,50,0
1778168844,2026-05-07 15:47:24,S-00,212.10001,0.031,0,1.28,50,0
1778168846,2026-05-07 15:47:26,S-00,212.39999,0.031,0,1.28,50,0
1778168848,2026-05-07 15:47:28,S-00,212.5,0.031,0,1.28,50,0
1778168851,2026-05-07 15:47:31,S-00,211.8,0.03,0,1.28,49.9,0
1778168853,2026-05-07 15:47:33,S-00,211.7,0.029,0,1.28,50,0
1778168855,2026-05-07 15:47:35,S-00,211.8,0.03,0,1.28,49.9,0
1778168858,2026-05-07 15:47:38,S-00,211.7,0.03,0,1.28,50,0
1778168860,2026-05-07 15:47:40,S-00,211.7,0.034,0.5,1.28,49.9,0.07
1778168862,2026-05-07 15:47:42,S-00,211.60001,0.03,0,1.28,49.9,0
1778168865,2026-05-07 15:47:45,S-00,211.7,0.029,0,1.28,49.9,0
1778168867,2026-05-07 15:47:47,S-00,211.5,0.033,0.5,1.28,49.9,0.07
1778168870,2026-05-07 15:47:50,S-00,211.8,0.031,0,1.28,49.9,0
1778168872,2026-05-07 15:47:52,S-00,211.8,0.03,0,1.28,49.9,0
1778168874,2026-05-07 15:47:54,S-00,211.39999,0.03,0,1.28,49.9,0
1778168877,2026-05-07 15:47:57,S-00,211.3,0.031,0,1.28,49.9,0
1778168879,2026-05-07 15:47:59,S-00,211.60001,0.029,0,1.28,50,0
1778168881,2026-05-07 15:48:01,S-00,211.10001,0.03,0,1.28,49.9,0
1778168884,2026-05-07 15:48:04,S-00,211.39999,0.031,0,1.28,50,0
1778168886,2026-05-07 15:48:06,S-00,211.5,0.03,0,1.28,49.9,0
1778168888,2026-05-07 15:48:08,S-00,211.5,0.03,0,1.28,50,0
1778168891,2026-05-07 15:48:11,S-00,211.3,0.031,0.4,1.28,49.9,0.06
1778168893,2026-05-07 15:48:13,S-00,210.60001,0.03,0,1.28,49.9,0
1778168896,2026-05-07 15:48:16,S-00,210.8,0.03,0,1.28,50,0
1778168898,2026-05-07 15:48:18,S-00,210.60001,0.03,0,1.28,50,0
1778168900,2026-05-07 15:48:20,S-00,210.2,0.03,0,1.28,50,0
1778168903,2026-05-07 15:48:23,S-00,210.39999,0.03,0,1.28,49.9,0
1778168905,2026-05-07 15:48:25,S-00,210.39999,0.034,0.5,1.28,50,0.07
1778168907,2026-05-07 15:48:27,S-00,209.60001,0.03,0,1.28,50,0
1778168910,2026-05-07 15:48:30,S-00,209.2,0.03,0,1.28,49.9,0
1778168912,2026-05-07 15:48:32,S-00,209.3,0.03,0,1.28,50,0
1778168914,2026-05-07 15:48:34,S-00,209.10001,0.031,0,1.28,50,0
1778168917,2026-05-07 15:48:37,S-00,209.10001,0.03,0,1.28,50,0
1778168919,2026-05-07 15:48:39,S-00,209.2,0.034,0.5,1.28,50,0.07
1778168922,2026-05-07 15:48:42,S-00,209.39999,0.03,0,1.28,50,0
1778168924,2026-05-07 15:48:44,S-00,210.10001,0.031,0,1.28,50,0
1778168926,2026-05-07 15:48:46,S-00,210.10001,0.033,0.5,1.28,50,0.07
1778168929,2026-05-07 15:48:49,S-00,210.10001,0.029,0,1.28,50,0
1778168931,2026-05-07 15:48:51,S-00,210.39999,0.029,0,1.28,50,0
1778168933,2026-05-07 15:48:53,S-00,210.2,0.033,0.6,1.28,50,0.09
1778168936,2026-05-07 15:48:56,S-00,210.2,0.03,0,1.28,50,0
1778168938,2026-05-07 15:48:58,S-00,210.2,0.029,0,1.28,50,0
1778168941,2026-05-07 15:49:01,S-00,210,0.03,0,1.28,50,0
1778168943,2026-05-07 15:49:03,S-00,210.39999,0.03,0,1.28,50,0
1778168945,2026-05-07 15:49:05,S-00,210.3,0.029,0,1.28,50,0
1778168948,2026-05-07 15:49:08,S-00,210.10001,0.035,0.5,1.28,50,0.07
1778168950,2026-05-07 15:49:10,S-00,210.39999,0.03,0,1.28,50,0
1778168952,2026-05-07 15:49:12,S-00,210.39999,0.031,0,1.28,50,0
1778168955,2026-05-07 15:49:15,S-00,209.60001,0.033,0.5,1.28,50,0.07
1778168957,2026-05-07 15:49:17,S-00,209.60001,0.03,0,1.28,50,0
1778168959,2026-05-07 15:49:19,S-00,209.10001,0.03,0,1.28,50,0
1778168962,2026-05-07 15:49:22,S-00,207.8,0.029,0,1.28,50,0
1778168964,2026-05-07 15:49:24,S-00,208.39999,0.029,0,1.28,50,0
1778168967,2026-05-07 15:49:27,S-00,209.3,0.031,0,1.28,50,0
1778168969,2026-05-07 15:49:29,S-00,209.39999,0.034,0.4,1.28,50,0.06
1778168971,2026-05-07 15:49:31,S-00,209.2,0.029,0,1.28,50,0
1778168974,2026-05-07 15:49:34,S-00,209.3,0.03,0,1.28,50,0
1778168976,2026-05-07 15:49:36,S-00,209.39999,0.034,0.5,1.28,50,0.07
1778168978,2026-05-07 15:49:38,S-00,208.8,0.03,0,1.28,50,0
1778168981,2026-05-07 15:49:41,S-00,208.8,0.03,0,1.28,50,0
1778168983,2026-05-07 15:49:43,S-00,208.3,0.029,0,1.28,50,0
1778168985,2026-05-07 15:49:45,S-00,208.10001,0.03,0,1.28,50,0
1778168988,2026-05-07 15:49:48,S-00,208.89999,0.031,0,1.28,50,0
1778168990,2026-05-07 15:49:50,S-00,209.10001,0.034,0.5,1.28,50,0.07
1778168992,2026-05-07 15:49:52,S-00,208.89999,0.031,0,1.28,50,0
1778168995,2026-05-07 15:49:55,S-00,209.10001,0.03,0,1.28,50,0
1778168997,2026-05-07 15:49:57,S-00,208.60001,0.033,0,1.28,50,0
1778168999,2026-05-07 15:49:59,S-00,208.89999,0.03,0,1.28,50,0
1778169002,2026-05-07 15:50:02,S-00,208.89999,0.03,0,1.28,50,0
1778169005,2026-05-07 15:50:05,S-00,209,0.035,0.6,1.28,50,0.08
1778169007,2026-05-07 15:50:07,S-00,208.60001,0.051,3.6,1.28,50,0.34
1778169010,2026-05-07 15:50:10,S-00,208.60001,0.081,8.4,1.28,50,0.5
1778169012,2026-05-07 15:50:12,S-00,208.5,0.058,4.9,1.28,50,0.41
1778169014,2026-05-07 15:50:14,S-00,208.3,0.056,4.3,1.28,50,0.37
1778169017,2026-05-07 15:50:17,S-00,208.10001,0.116,13.5,1.28,50,0.56
1778169019,2026-05-07 15:50:19,S-00,208.2,0.118,14.1,1.28,50,0.57
1778169021,2026-05-07 15:50:21,S-00,207.89999,0.079,8,1.28,50,0.49
1778169024,2026-05-07 15:50:24,S-00,208.39999,0.082,8.7,1.28,50,0.51
1778169026,2026-05-07 15:50:26,S-00,208.2,0.058,5.1,1.28,50,0.42
1778169028,2026-05-07 15:50:28,S-00,208.60001,0.061,5.2,1.28,50,0.41
1778169031,2026-05-07 15:50:31,S-00,208.10001,0.113,13.3,1.28,50,0.57
1778169033,2026-05-07 15:50:33,S-00,207.8,0.111,13,1.28,50,0.56
1778169035,2026-05-07 15:50:35,S-00,207.89999,0.115,13.6,1.28,50,0.57
1778169038,2026-05-07 15:50:38,S-00,207.5,0.118,13.8,1.28,50,0.56
1778169040,2026-05-07 15:50:40,S-00,208.2,0.119,14.1,1.28,50,0.57
1778169042,2026-05-07 15:50:42,S-00,208.10001,0.123,14.7,1.28,50,0.57
1778169045,2026-05-07 15:50:45,S-00,208.3,0.117,14.1,1.28,50,0.58
1778169047,2026-05-07 15:50:47,S-00,208.10001,0.118,14,1.28,50,0.57
1778169049,2026-05-07 15:50:49,S-00,208.3,0.119,14.1,1.28,50,0.57
1778169052,2026-05-07 15:50:52,S-00,208.3,0.117,13.7,1.28,50,0.56
1778169054,2026-05-07 15:50:54,S-00,209.60001,0.116,13.7,1.28,50,0.56
1778169057,2026-05-07 15:50:57,S-00,209.5,0.12,14.4,1.28,50,0.57
1778169059,2026-05-07 15:50:59,S-00,209.5,0.115,13.7,1.28,50,0.57
1778169061,2026-05-07 15:51:01,S-00,209.39999,0.115,13.4,1.28,50,0.56
1778169064,2026-05-07 15:51:04,S-00,209.8,0.115,13.5,1.28,50,0.56
1778169066,2026-05-07 15:51:06,S-00,208.2,0.114,13.3,1.28,50,0.56
1778169068,2026-05-07 15:51:08,S-00,208.10001,0.113,13.2,1.28,50,0.56
1778169071,2026-05-07 15:51:11,S-00,208.10001,0.116,13.6,1.28,50,0.56
1778169073,2026-05-07 15:51:13,S-00,208.10001,0.113,13,1.28,50,0.55
1778169075,2026-05-07 15:51:15,S-00,208,0.106,12.1,1.28,50,0.55
1778169078,2026-05-07 15:51:18,S-00,207.89999,0.11,12.7,1.28,50,0.56
